                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.404,                 2.3311,                 1.5138,                0.59056,                0.50013,                0.52797,                0.24639,                 1.7993,                 1.6938,                 1.6981,               0.070184,              0.0033129,              0.0033129
                      1,                 1.1828,                 1.4126,                 1.3423,                0.70373,                0.57133,                0.61859,                0.29533,                 1.7815,                 1.3589,                 1.6722,                0.04002,              0.0064817,              0.0064817
                      2,                  1.179,                 1.2926,                 1.3237,                0.70014,                0.57496,                0.61102,                0.29253,                  1.793,                 1.4392,                 1.7056,              0.0096901,              0.0094856,              0.0094856
                      3,                 1.1935,                 1.2815,                 1.3274,                0.71233,                0.53538,                0.58109,                0.27562,                 1.8126,                 1.6101,                 1.7665,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.1697,                 1.2261,                 1.3099,                0.72872,                0.57968,                0.63342,                0.29829,                 1.8224,                 1.3715,                 1.8041,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.1517,                 1.1913,                 1.3021,                0.72631,                0.47261,                0.54776,                0.25928,                 1.8559,                 1.7941,                 1.8657,                0.00901,                0.00901,                0.00901
                      6,                 1.1245,                 1.1256,                 1.2839,                0.76915,                0.60463,                0.66996,                0.32745,                 1.7636,                  1.201,                 1.7748,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.1055,                  1.083,                 1.2655,                0.76238,                0.61563,                 0.6652,                0.33623,                 1.7262,                 1.2227,                 1.7231,               0.008515,               0.008515,               0.008515
                      8,                 1.0861,                 1.0464,                 1.2546,                0.75529,                0.62935,                0.66514,                0.34877,                 1.6393,                 1.1878,                 1.6372,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.0705,                 1.0031,                 1.2352,                0.84486,                 0.6115,                0.70892,                0.35993,                 1.7172,                 1.1768,                 1.7056,                0.00802,                0.00802,                0.00802
                     10,                 1.0531,                0.98374,                 1.2293,                0.82596,                0.64428,                0.71008,                0.39343,                 1.5864,                 1.1072,                 1.5907,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.0331,                0.95959,                 1.2215,                0.81426,                0.67314,                0.72493,                0.40986,                  1.549,                 1.0212,                 1.5751,               0.007525,               0.007525,               0.007525
                     12,                 1.0192,                0.92903,                 1.2089,                 0.8239,                 0.6811,                0.73185,                0.38865,                 1.6329,                 1.0417,                 1.6488,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.0021,                0.90911,                 1.1984,                 0.8528,                0.67849,                0.74755,                  0.409,                 1.5412,                0.97415,                 1.5548,                0.00703,                0.00703,                0.00703
                     14,                0.98785,                0.87643,                 1.1926,                0.84597,                0.68668,                0.75083,                0.41284,                 1.5756,                0.97297,                 1.5837,              0.0067825,              0.0067825,              0.0067825
                     15,                   0.98,                0.86406,                 1.1828,                0.82753,                0.65789,                0.73128,                0.40836,                 1.5873,                 1.0109,                 1.5971,               0.006535,               0.006535,               0.006535
                     16,                0.96496,                0.83748,                 1.1701,                0.81512,                0.69609,                0.75163,                0.41754,                 1.5696,                0.95293,                 1.5789,              0.0062875,              0.0062875,              0.0062875
                     17,                 0.9444,                0.81507,                 1.1584,                0.87366,                0.70446,                0.77062,                0.44911,                 1.4582,                0.90493,                  1.526,                0.00604,                0.00604,                0.00604
